codigo_receita;orgao;uniorcam;receita_realizada_jan;receita_realizada_fev;receita_realizada_mar;receita_realizada_abr;receita_realizada_mai;receita_realizada_jun;receita_realizada_jul;receita_realizada_ago;receita_realizada_set;receita_realizada_out;receita_realizada_nov;receita_realizada_dez;meta_1bim;meta_2bim;meta_3bim;meta_4bim;meta_5bim;meta_6bim;caracteristica_peculiar_receita;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.1.1.8.01.1.3.01.00.00.00.000;02;0201;4.354,57;2.421,83;2.256,24;1.673,80;2.683,82;3.840,71;2.879,91;2.758,19;2.024,39;2.332,73;2.095,15;8.687,09;6.693,24;6.693,24;6.693,24;6.693,24;6.693,24;6.693,22;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.02.00.00.00.000;02;0201;1.814,45;1.009,19;940,12;697,45;1.118,35;1.600,36;1.200,03;1.149,29;843,56;972,05;873,10;3.619,65;2.788,84;2.788,84;2.788,84;2.788,84;2.788,84;2.788,89;000;0020;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.03.00.00.00.000;02;0201;1.088,64;605,48;564,06;418,46;671,00;960,23;719,99;689,56;506,12;583,22;523,82;2.171,79;1.673,32;1.673,32;1.673,32;1.673,32;1.673,32;1.673,26;000;0040;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.00.00.00.00.000;02;0201;4.523,47;776,63;1.459,22;1.034,32;1.595,75;2.216,73;1.995,18;1.023,43;1.260,30;1.487,54;1.541,34;4.597,36;4.007,74;4.007,74;4.007,74;4.007,74;4.007,74;4.007,66;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.01.00.00.00.000;02;0201;2.714,04;465,98;875,53;620,59;957,44;1.329,97;1.197,05;613,97;756,15;892,51;924,80;2.758,41;2.404,64;2.404,64;2.404,64;2.404,64;2.404,64;2.404,62;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.02.00.00.00.000;02;0201;1.130,90;194,17;364,82;258,59;398,95;554,23;498,83;255,92;315,10;371,92;385,35;1.149,36;1.001,94;1.001,94;1.001,94;1.001,94;1.001,94;1.001,89;000;0020;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.03.00.00.00.000;02;0201;678,53;116,48;218,87;155,14;239,36;332,53;299,30;153,54;189,05;223,11;231,19;689,59;601,16;601,16;601,16;601,16;601,16;601,15;000;0040;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.4.0.00.00.00.00.000;02;0201;17.138,63;15.706,58;49.968,00;103.170,00;99.216,00;115.806,00;113.217,00;69.004,81;97.017,00;54.759,00;70.045,00;23.631,00;222.062,88;222.062,88;222.062,88;222.062,88;222.062,88;222.062,80;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.00.00.00.00.000;02;0201;17.138,63;15.706,58;49.968,00;103.170,00;99.216,00;115.806,00;113.217,00;69.004,81;97.017,00;54.759,00;70.045,00;23.631,00;222.062,88;222.062,88;222.062,88;222.062,88;222.062,88;222.062,80;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.01.00.00.00.000;02;0201;10.283,18;9.423,94;29.980,80;61.902,00;59.529,60;69.483,60;67.930,20;41.402,87;58.210,20;32.855,40;42.027,00;14.178,60;133.237,72;133.237,72;133.237,72;133.237,72;133.237,72;133.237,72;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.02.00.00.00.000;02;0201;4.284,66;3.926,65;12.492,00;25.792,50;24.804,00;28.951,50;28.304,25;17.251,22;24.254,25;13.689,75;17.511,25;5.907,75;55.515,72;55.515,72;55.515,72;55.515,72;55.515,72;55.515,70;000;0020;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.03.00.00.00.000;02;0201;2.570,79;2.355,99;7.495,20;15.475,50;14.882,40;17.370,90;16.982,55;10.350,72;14.552,55;8.213,85;10.506,75;3.544,65;33.309,44;33.309,44;33.309,44;33.309,44;33.309,44;33.309,38;000;0040;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.0.0.00.00.00.00.000;02;0201;31.306,41;26.775,92;26.122,83;35.550,30;31.183,27;27.862,47;32.470,90;34.803,95;36.156,05;43.573,36;39.734,62;42.158,88;63.583,74;63.583,74;63.583,74;63.583,74;63.583,74;63.583,84;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.0.00.00.00.00.000;02;0201;31.306,41;26.775,92;26.122,83;35.550,30;31.183,27;27.862,47;32.470,90;34.803,95;36.156,05;43.573,36;39.734,62;42.158,88;63.583,74;63.583,74;63.583,74;63.583,74;63.583,74;63.583,84;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.00.00.00.00.000;02;0201;30.675,76;26.478,07;25.751,41;35.464,84;30.957,80;27.674,87;32.341,64;34.466,26;35.997,88;43.313,07;39.479,17;42.009,54;60.600,58;60.600,58;60.600,58;60.600,58;60.600,58;60.600,66;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.01.00.00.00.000;02;0201;18.405,39;15.886,80;15.450,81;21.278,81;18.574,63;16.604,87;19.404,95;20.679,73;21.598,70;25.987,77;23.687,43;25.205,65;36.360,36;36.360,36;36.360,36;36.360,36;36.360,36;36.360,34;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.02.00.00.00.000;02;0201;7.668,97;6.619,54;6.437,88;8.866,26;7.739,48;6.918,76;8.085,44;8.616,59;8.999,53;10.828,32;9.869,84;10.502,42;15.150,14;15.150,14;15.150,14;15.150,14;15.150,14;15.150,19;000;0020;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.03.00.00.00.000;02;0201;4.601,40;3.971,73;3.862,72;5.319,77;4.643,69;4.151,24;4.851,25;5.169,94;5.399,65;6.496,98;5.921,90;6.301,47;9.090,08;9.090,08;9.090,08;9.090,08;9.090,08;9.090,13;000;0040;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.2.00.00.00.00.000;02;0201;412,13;197,85;371,42;85,46;225,47;187,60;129,26;337,69;158,17;260,29;255,45;149,34;605,50;605,50;605,50;605,50;605,50;605,54;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.1.8.02.3.2.01.00.00.00.000;02;0201;247,27;118,71;222,85;51,27;135,28;112,56;77,55;202,61;94,89;156,18;153,27;89,60;363,30;363,30;363,30;363,30;363,30;363,32;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
