codigo_receita;orgao;uniorcam;receita_realizada_jan;receita_realizada_fev;receita_realizada_mar;receita_realizada_abr;receita_realizada_mai;receita_realizada_jun;receita_realizada_jul;receita_realizada_ago;receita_realizada_set;receita_realizada_out;receita_realizada_nov;receita_realizada_dez;meta_1bim;meta_2bim;meta_3bim;meta_4bim;meta_5bim;meta_6bim;caracteristica_peculiar_receita;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.1.2.8.01.9.1.05.00.00.00.000;02;0201;0,00;1.074,00;67,00;287,00;847,00;347,00;916,00;760,00;981,00;923,00;722,00;0,00;1.450,68;1.450,68;1.450,68;1.450,68;1.450,68;1.450,76;000;1005;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.1.06.00.00.00.000;02;0201;164,00;64,00;814,00;463,00;106,00;627,00;524,00;1.400,00;1.487,00;2.078,00;837,00;475,00;581,88;581,88;581,88;581,88;581,88;581,91;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.1.07.00.00.00.000;02;0201;0,00;0,00;0,00;112,00;112,00;0,00;462,00;56,00;966,00;0,00;56,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.2.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,90;54,56;0,22;97,65;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.2.01.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54,56;0,00;97,65;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.2.03.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.2.04.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,80;0,00;0,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.3.00.00.00.00.000;02;0201;491,03;251,68;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;221,32;155,61;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.3.01.00.00.00.000;02;0201;280,03;251,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;155,61;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.3.04.00.00.00.000;02;0201;211,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.3.05.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;221,32;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;1005;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.4.00.00.00.00.000;02;0201;85,49;52,38;0,00;0,00;0,00;7,45;0,00;0,00;0,00;0,00;146,07;50,50;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.4.01.00.00.00.000;02;0201;78,20;52,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,50;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.4.04.00.00.00.000;02;0201;7,29;0,00;0,00;0,00;0,00;7,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.4.05.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;146,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;1005;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.0.0.00.0.0.00.00.00.00.000;02;0201;18.238,36;102.132,97;89.961,50;87.656,78;86.773,43;88.132,72;85.573,59;104.084,05;107.384,68;102.988,31;108.947,30;288.862,69;171.753,26;171.753,26;171.753,26;171.753,26;171.753,26;241.511,80;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.0.00.0.0.00.00.00.00.000;02;0201;0,00;84.788,67;70.269,17;70.082,92;70.254,39;70.733,24;71.136,07;91.003,12;93.218,62;89.066,08;94.839,64;273.962,83;139.516,86;139.516,86;139.516,86;139.516,86;139.516,86;209.275,29;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.00.0.0.00.00.00.00.000;02;0201;0,00;84.788,67;70.269,17;70.082,92;70.254,39;70.733,24;71.136,07;91.003,12;93.218,62;89.066,08;94.839,64;273.962,83;139.516,86;139.516,86;139.516,86;139.516,86;139.516,86;209.275,29;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.01.0.0.00.00.00.00.000;02;0201;0,00;84.788,67;70.269,17;70.082,92;70.254,39;70.733,24;71.136,07;91.003,12;93.218,62;89.066,08;94.839,64;273.962,83;139.516,86;139.516,86;139.516,86;139.516,86;139.516,86;209.275,29;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.01.1.0.00.00.00.00.000;02;0201;0,00;84.475,51;69.956,01;69.769,76;69.941,23;70.420,08;70.822,91;90.604,56;92.704,58;87.631,67;87.492,07;270.695,45;138.860,00;138.860,00;138.860,00;138.860,00;138.860,00;208.290,00;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.01.1.1.00.00.00.00.000;12;1201;0,00;84.475,51;69.956,01;69.769,76;69.941,23;70.420,08;70.822,91;90.604,56;92.704,58;87.631,67;87.492,07;270.695,45;138.860,00;138.860,00;138.860,00;138.860,00;138.860,00;208.290,00;000;0050;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.01.2.0.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;115,48;1.035,85;1.035,85;2.071,70;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.01.2.1.00.00.00.00.000;12;1201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;115,48;1.035,85;1.035,85;2.071,70;0,00;0,00;0,00;0,00;0,00;0,00;000;0050;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.01.3.0.00.00.00.00.000;02;0201;0,00;313,16;313,16;313,16;313,16;313,16;313,16;398,56;398,56;398,56;398,56;1.195,68;656,86;656,86;656,86;656,86;656,86;985,29;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.01.3.1.00.00.00.00.000;12;1201;0,00;313,16;313,16;313,16;313,16;313,16;313,16;398,56;398,56;398,56;398,56;1.195,68;656,86;656,86;656,86;656,86;656,86;985,29;000;0050;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.01.4.0.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.913,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.1.8.01.4.1.00.00.00.00.000;12;1201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.913,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0050;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.4.0.00.0.0.00.00.00.00.000;02;0201;18.238,36;17.344,30;19.692,33;17.573,86;16.519,04;17.399,48;14.437,52;13.080,93;14.166,06;13.922,23;14.107,66;14.899,86;32.236,40;32.236,40;32.236,40;32.236,40;32.236,40;32.236,51;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.4.0.00.1.0.00.00.00.00.000;02;0201;18.238,36;17.344,30;19.692,33;17.573,86;16.519,04;17.399,48;14.437,52;13.080,93;14.166,06;13.922,23;14.107,66;14.899,86;32.236,40;32.236,40;32.236,40;32.236,40;32.236,40;32.236,51;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.2.4.0.00.1.1.00.00.00.00.000;02;0201;18.238,36;17.344,30;19.692,33;17.573,86;16.519,04;17.399,48;14.437,52;13.080,93;14.166,06;13.922,23;14.107,66;14.899,86;32.236,40;32.236,40;32.236,40;32.236,40;32.236,40;32.236,51;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.0.0.00.0.0.00.00.00.00.000;02;0201;150.593,24;149.647,29;53.449,02;216.703,15;368.408,44;297.130,68;486.182,72;56.900,91;21.990,23;38.750,84;267.514,63;598.684,19;449.419,90;449.688,22;450.578,61;449.419,90;449.589,15;450.977,97;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.1.0.00.0.0.00.00.00.00.000;02;0201;16.559,21;17.122,00;17.104,80;17.086,00;17.086,00;17.104,80;17.086,00;17.086,00;17.086,00;17.112,85;17.086,00;17.086,00;33.378,32;33.378,32;33.378,32;33.378,32;33.378,32;33.378,52;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.1.0.01.0.0.00.00.00.00.000;02;0201;16.559,21;17.122,00;17.104,80;17.086,00;17.086,00;17.104,80;17.086,00;17.086,00;17.086,00;17.112,85;17.086,00;17.086,00;33.378,32;33.378,32;33.378,32;33.378,32;33.378,32;33.378,52;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.1.0.01.1.0.00.00.00.00.000;02;0201;16.559,21;17.122,00;17.104,80;17.086,00;17.086,00;17.104,80;17.086,00;17.086,00;17.086,00;17.112,85;17.086,00;17.086,00;33.378,32;33.378,32;33.378,32;33.378,32;33.378,32;33.378,52;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.1.0.01.1.1.00.00.00.00.000;02;0201;15.994,00;17.012,00;17.086,00;17.086,00;17.086,00;17.086,00;17.086,00;17.086,00;17.086,00;17.086,00;17.086,00;17.086,00;32.983,44;32.983,44;32.983,44;32.983,44;32.983,44;32.983,55;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.1.0.01.1.2.00.00.00.00.000;02;0201;0,00;110,00;18,80;0,00;0,00;18,80;0,00;0,00;0,00;26,85;0,00;0,00;53,18;53,18;53,18;53,18;53,18;53,19;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.1.0.01.1.3.00.00.00.00.000;02;0201;445,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;311,50;311,50;311,50;311,50;311,50;311,57;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.1.0.01.1.4.00.00.00.00.000;02;0201;119,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,20;30,20;30,20;30,20;30,20;30,21;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.0.00.0.0.00.00.00.00.000;02;0201;134.034,03;132.525,29;36.344,22;199.617,15;351.322,44;280.025,88;469.096,72;39.814,91;4.904,23;21.637,99;250.428,63;581.598,19;416.041,58;416.309,90;417.200,29;416.041,58;416.210,83;417.599,45;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.0.0.00.00.00.00.000;02;0201;134.034,03;132.525,29;36.344,22;199.617,15;351.322,44;280.025,88;469.096,72;39.814,91;4.904,23;21.637,99;250.428,63;581.598,19;416.041,58;416.309,90;417.200,29;416.041,58;416.210,83;417.599,45;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.0.00.00.00.00.000;02;0201;7.024,46;4.834,00;6.338,99;4.821,34;4.686,38;4.146,28;4.450,52;3.166,93;1.499,57;2.734,65;2.945,42;5.270,29;25.708,28;25.976,60;26.866,99;25.708,28;25.877,53;27.265,95;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.00.00.00.00.000;02;0201;7.024,46;4.834,00;6.338,99;4.821,34;4.686,38;4.146,28;4.450,52;3.166,93;1.499,57;2.734,65;2.945,42;5.270,29;25.708,28;25.976,60;26.866,99;25.708,28;25.877,53;27.265,95;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.00.00.00.000;02;0201;3.845,75;2.058,48;2.653,33;2.197,91;1.972,63;1.760,02;1.981,71;1.619,17;1.339,04;1.619,33;1.396,10;1.254,66;2.100,84;2.369,16;3.259,55;2.100,84;2.270,09;3.658,18;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.02.00.00.000;02;0201;878,21;605,12;833,74;640,74;682,23;637,14;624,79;545,48;573,74;517,29;331,07;265,84;2.100,84;2.100,84;2.100,84;2.100,84;2.100,84;2.100,95;000;0031;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.00.00.000;02;0201;487,76;338,90;355,39;247,07;606,40;469,19;736,33;738,45;482,09;696,26;583,90;343,90;0,00;0,00;24,98;0,00;139,65;653,13;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.02.00.000;02;0201;69,71;35,33;41,73;42,16;43,36;30,90;21,93;13,18;0,00;0,00;5,17;43,35;0,00;0,00;0,00;0,00;0,00;0,00;000;4050;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.03.00.000;02;0201;3,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,84;000;4931;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.05.00.000;02;0201;174,18;115,00;190,81;68,66;270,23;165,95;209,28;103,14;37,05;254,67;250,62;105,68;0,00;0,00;0,00;0,00;0,00;0,00;000;4500;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.07.00.000;02;0201;2,42;4,30;7,23;11,22;8,92;14,00;10,36;1,13;0,00;3,36;3,55;5,46;0,00;0,00;0,00;0,00;0,00;0,00;000;4503;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.08.00.000;02;0201;4,74;6,41;5,26;1,94;0,49;0,34;0,00;0,00;0,00;0,00;6,47;13,23;0,00;0,00;0,00;0,00;0,00;38,88;000;4160;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.09.00.000;02;0201;40,38;42,88;8,20;10,88;15,36;0,39;0,00;0,00;0,00;0,00;31,26;0,00;0,00;0,00;0,00;0,00;0,00;142,75;000;4011;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.10.00.000;02;0201;32,58;28,58;40,43;22,93;7,47;5,14;0,00;0,00;0,00;0,00;3,78;10,23;0,00;0,00;0,00;0,00;0,00;0,00;000;4050;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.11.00.000;02;0201;23,74;23,24;0,00;15,39;0,00;0,00;0,00;0,00;0,00;0,00;36,55;52,91;0,00;0,00;0,00;0,00;0,00;0,00;000;4090;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.16.00.000;02;0201;14,66;11,82;12,00;6,81;7,56;8,09;6,94;2,89;1,66;2,30;2,71;3,15;0,00;0,00;0,00;0,00;0,00;0,00;000;4503;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.17.00.000;02;0201;59,07;23,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;4303;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.20.00.000;02;0201;28,95;20,49;20,82;11,74;12,97;11,50;8,55;3,56;2,04;2,83;2,67;2,94;0,00;0,00;0,00;0,00;0,00;0,00;000;4505;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.22.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,16;0,00;0,00;0,00;000;4520;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.22.00.000;02;0201;5,60;5,61;5,20;1,87;1,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;4520;3110;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.25.00.000;02;0201;28,54;21,49;23,71;17,90;11,36;8,06;4,74;1,88;1,09;1,49;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;4500;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.26.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;139,65;0,00;000;0900;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.26.00.000;02;0201;0,00;0,00;0,00;31,20;44,08;36,54;25,69;2,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0900;3160;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.27.00.000;02;0201;0,00;0,00;0,00;4,37;10,42;9,02;7,65;6,17;0,00;0,43;3,36;11,50;0,00;0,00;0,00;0,00;0,00;0,00;000;4170;3160;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.28.00.000;02;0201;0,00;0,00;0,00;0,00;172,30;170,27;144,27;114,60;0,00;8,13;63,39;13,41;0,00;0,00;0,00;0,00;0,00;424,66;000;4292;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.29.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;4,17;4,74;3,25;0,00;3,21;3,66;4,88;0,00;0,00;0,00;0,00;0,00;0,00;000;4505;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.30.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,82;0,00;0,00;0,00;000;4001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.30.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;4,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;4001;3160;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.31.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;292,18;479,86;419,36;403,25;150,16;41,33;0,00;0,00;0,00;0,00;0,00;0,00;000;4511;3160;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.32.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,65;0,00;0,56;4,42;15,11;0,00;0,00;0,00;0,00;0,00;0,00;000;4011;3160;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.3.2.1.00.1.1.01.03.33.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,89;16,03;16,05;16,06;0,00;0,00;0,00;0,00;0,00;0,00;000;4511;3160;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
