codigo_receita;orgao;uniorcam;receita_realizada_jan;receita_realizada_fev;receita_realizada_mar;receita_realizada_abr;receita_realizada_mai;receita_realizada_jun;receita_realizada_jul;receita_realizada_ago;receita_realizada_set;receita_realizada_out;receita_realizada_nov;receita_realizada_dez;meta_1bim;meta_2bim;meta_3bim;meta_4bim;meta_5bim;meta_6bim;caracteristica_peculiar_receita;recurso_vinculado;complemento_recurso_vinculado;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.0.0.0.00.0.0.00.00.00.00.000;02;0201;2.655.131,55;2.824.792,28;2.875.639,52;3.005.596,92;3.331.983,09;3.367.903,04;3.886.565,21;3.100.089,84;2.892.561,51;3.109.613,88;3.845.770,45;5.378.951,94;4.776.852,07;4.831.198,11;6.459.600,85;6.294.230,12;6.703.168,48;8.329.746,33;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.0.0.00.0.0.00.00.00.00.000;02;0201;135.784,13;133.510,29;151.434,16;229.411,58;353.319,29;660.026,22;234.243,11;238.501,82;358.587,13;221.538,59;200.053,78;251.651,22;262.812,78;395.555,14;1.067.175,37;326.079,54;380.381,10;621.532,51;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.0.00.0.0.00.00.00.00.000;02;0201;131.757,26;130.470,29;144.090,25;225.289,82;344.674,81;656.143,22;229.713,11;227.930,09;353.354,21;195.926,56;179.785,96;247.413,05;258.263,38;390.161,45;1.058.796,96;315.080,56;345.878,14;611.870,15;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.00.0.0.00.00.00.00.000;02;0201;55.242,57;50.807,24;49.113,77;49.652,42;48.684,14;50.875,14;51.799,49;51.416,89;52.532,37;53.366,25;51.650,73;111.922,32;117.135,97;106.779,91;104.408,08;104.687,46;106.458,73;182.967,64;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.0.0.00.00.00.00.000;02;0201;55.242,57;50.807,24;49.113,77;49.652,42;48.684,14;50.875,14;51.799,49;51.416,89;52.532,37;53.366,25;51.650,73;111.922,32;117.135,97;106.779,91;104.408,08;104.687,46;106.458,73;182.967,64;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.0.00.00.00.00.000;02;0201;55.242,57;50.807,24;49.113,77;49.652,42;48.684,14;50.875,14;51.799,49;51.416,89;52.532,37;52.115,52;51.650,73;111.922,32;117.135,97;106.779,91;104.408,08;104.687,46;106.458,73;182.967,64;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.00.00.00.00.000;02;0201;55.242,57;50.807,24;49.113,77;49.652,42;48.684,14;50.875,14;51.799,49;51.416,89;52.532,37;52.115,52;51.650,73;111.922,32;117.135,97;106.779,91;104.408,08;104.687,46;106.458,73;182.967,64;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.00.00.00.000;02;0201;41.241,77;36.578,51;35.001,75;35.470,42;34.666,29;34.628,25;35.096,32;34.738,64;35.832,06;35.434,70;34.855,01;78.366,53;95.813,91;83.827,10;84.021,43;84.468,39;86.506,23;122.925,82;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.01.00.00.000;02;0201;24.745,06;21.947,10;21.001,05;21.282,25;20.799,78;20.776,95;21.057,79;20.843,18;21.499,23;21.260,81;20.913,01;47.019,92;57.488,34;50.296,26;50.412,86;50.681,03;51.903,74;73.755,50;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.02.00.00.000;02;0201;10.310,44;9.144,63;8.750,44;8.867,61;8.666,57;8.657,06;8.774,08;8.684,66;8.958,02;8.858,68;8.713,75;19.591,63;23.953,48;20.956,78;21.005,36;21.117,10;21.626,56;30.731,44;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.01.03.00.00.000;02;0201;6.186,27;5.486,78;5.250,26;5.320,56;5.199,94;5.194,24;5.264,45;5.210,80;5.374,81;5.315,21;5.228,25;11.754,98;14.372,09;12.574,06;12.603,21;12.670,26;12.975,93;18.438,88;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.00.00.00.000;02;0201;2.068,26;2.244,88;2.128,17;2.128,17;2.128,17;2.128,17;2.153,09;2.128,17;2.077,84;2.058,35;2.110,49;4.341,91;9.409,84;8.429,42;7.665,11;7.680,13;5.912,15;9.020,67;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.01.00.00.000;02;0201;1.240,95;1.346,93;1.276,90;1.276,90;1.276,90;1.276,90;1.291,86;1.276,90;1.246,70;1.235,01;1.266,30;2.605,14;5.645,91;5.057,65;4.599,06;4.608,08;3.547,28;5.412,41;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.02.00.00.000;02;0201;517,07;561,22;532,04;532,04;532,04;532,04;538,27;532,04;519,46;514,59;527,62;1.085,48;2.352,46;2.107,35;1.916,28;1.920,03;1.478,04;2.255,17;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.03.00.00.000;02;0201;310,24;336,73;319,23;319,23;319,23;319,23;322,96;319,23;311,68;308,75;316,57;651,29;1.411,47;1.264,42;1.149,77;1.152,02;886,83;1.353,09;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.00.00.00.000;02;0201;11.932,54;11.983,85;11.983,85;12.053,83;11.889,68;14.118,72;14.550,08;14.550,08;14.622,47;14.622,47;14.685,23;29.213,88;11.912,22;14.523,39;12.721,54;12.538,94;14.040,35;51.021,15;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.01.00.00.000;02;0201;7.159,52;7.190,31;7.190,31;7.232,30;7.133,81;8.471,23;8.730,05;8.730,05;8.773,48;8.773,48;8.811,14;17.528,32;7.147,33;8.714,03;7.632,93;7.523,36;8.424,21;30.612,69;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.02.00.00.000;02;0201;2.983,14;2.995,96;2.995,96;3.013,46;2.972,42;3.529,68;3.637,52;3.637,52;3.655,62;3.655,62;3.671,31;7.303,47;2.978,05;3.630,85;3.180,38;3.134,73;3.510,09;12.755,30;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.03.00.00.000;02;0201;1.789,88;1.797,58;1.797,58;1.808,07;1.783,45;2.117,81;2.182,51;2.182,51;2.193,37;2.193,37;2.202,78;4.382,09;1.786,84;2.178,51;1.908,23;1.880,85;2.106,05;7.653,16;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.0.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.250,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.250,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.250,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.01.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;750,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.02.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;312,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.03.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;187,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.00.0.0.00.00.00.00.000;02;0201;76.514,69;79.663,05;94.976,48;175.637,40;295.990,67;605.268,08;177.913,62;176.513,20;300.821,84;142.560,31;128.135,23;135.490,73;141.127,41;283.381,54;954.388,88;210.393,10;239.419,41;428.902,51;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.0.0.00.00.00.00.000;02;0201;38.382,47;36.949,82;57.006,06;130.412,62;254.684,30;556.325,06;120.293,13;123.395,31;237.489,92;86.972,68;72.838,26;85.260,34;95.092,64;229.262,62;888.845,80;150.393,28;166.170,16;304.864,48;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.0.00.00.00.00.000;02;0201;4.642,47;8.263,82;6.051,06;87.257,62;131.125,66;321.573,79;16.367,13;70.988,31;24.750,92;21.653,68;19.225,26;14.199,34;11.405,68;170.231,22;498.861,92;48.102,69;36.486,34;112.532,42;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.1.00.00.00.00.000;02;0201;0,00;0,00;0,00;67.823,21;109.135,36;299.369,55;5.192,02;9.048,56;8.794,78;4.990,36;4.115,25;8.180,71;1.218,59;138.612,04;474.750,41;25.959,02;12.575,88;14.829,34;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.1.01.00.00.00.000;02;0201;0,00;0,00;0,00;40.693,92;65.481,20;179.621,68;3.115,20;5.429,11;5.276,82;2.994,21;2.469,16;4.908,39;731,17;83.167,15;284.850,55;15.575,28;7.545,51;8.897,51;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.1.02.00.00.00.000;02;0201;0,00;0,00;0,00;16.955,82;27.283,83;74.842,40;1.298,04;2.262,17;2.198,72;1.247,60;1.028,85;2.045,21;304,64;34.653,14;118.687,31;6.489,85;3.143,99;3.707,39;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.1.03.00.00.00.000;02;0201;0,00;0,00;0,00;10.173,47;16.370,33;44.905,47;778,78;1.357,28;1.319,24;748,55;617,24;1.227,11;182,78;20.791,75;71.212,55;3.893,89;1.886,38;2.224,44;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.2.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;81,02;265,43;124,62;308,58;0,00;0,00;118,79;1.290,29;1.088,23;1.555,41;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.2.01.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48,60;159,23;74,77;185,13;0,00;0,00;71,25;774,17;652,94;933,27;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.2.02.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,27;66,37;31,15;77,16;0,00;0,00;29,71;322,59;272,04;388,84;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.2.03.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,15;39,83;18,70;46,29;0,00;0,00;17,83;193,53;163,25;233,30;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.00.00.00.00.000;02;0201;3.579,57;5.349,59;4.895,96;13.618,30;17.503,06;18.263,22;9.630,62;48.559,06;14.279,07;14.780,58;12.873,26;3.969,24;6.947,57;17.955,50;14.692,44;12.081,97;10.440,24;68.893,87;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.01.00.00.00.000;02;0201;2.147,68;3.209,69;2.937,48;8.170,86;10.501,70;10.957,83;5.778,31;29.135,17;8.567,28;8.868,17;7.723,82;2.381,51;4.168,49;10.773,29;8.815,48;7.249,15;6.264,15;41.336,39;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.02.00.00.00.000;02;0201;894,95;1.337,45;1.224,04;3.404,68;4.375,86;4.565,90;2.407,70;12.139,92;3.569,90;3.695,27;3.218,42;992,34;1.736,93;4.488,89;3.673,12;3.020,51;2.610,07;17.223,38;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.03.00.00.00.000;02;0201;536,94;802,45;734,44;2.042,76;2.625,50;2.739,49;1.444,61;7.283,97;2.141,89;2.217,14;1.931,02;595,39;1.042,15;2.693,32;2.203,84;1.812,31;1.566,02;10.334,10;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.00.00.00.00.000;02;0201;1.062,90;2.914,23;1.155,10;5.816,11;4.487,24;3.941,02;1.544,49;13.380,69;1.596,05;1.617,31;2.112,13;1.740,81;3.239,52;13.663,68;9.300,28;8.771,41;12.381,99;27.253,80;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.01.00.00.00.000;02;0201;637,73;1.748,54;693,06;3.489,63;2.692,28;2.364,53;926,66;8.028,22;957,51;970,27;1.267,19;1.044,48;1.943,64;8.198,17;5.580,15;5.262,83;7.429,15;16.352,47;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.02.00.00.00.000;02;0201;265,75;728,57;288,79;1.454,07;1.121,87;985,31;386,16;3.345,32;399,13;404,43;528,10;435,21;809,95;3.415,95;2.325,11;2.192,86;3.095,51;6.813,29;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.03.00.00.00.000;02;0201;159,42;437,12;173,25;872,41;673,09;591,18;231,67;2.007,15;239,41;242,61;316,84;261,12;485,93;2.049,56;1.395,02;1.315,72;1.857,33;4.088,04;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.0.00.00.00.00.000;02;0201;33.740,00;28.686,00;50.955,00;43.155,00;123.558,64;234.751,27;103.926,00;52.407,00;212.739,00;65.319,00;53.613,00;71.061,00;83.686,96;59.031,40;389.983,88;102.290,59;129.683,82;192.332,06;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.00.00.00.00.000;02;0201;33.740,00;28.686,00;50.955,00;43.155,00;123.558,64;234.751,27;103.926,00;52.407,00;212.739,00;65.319,00;53.613,00;71.061,00;83.686,96;59.031,40;389.983,88;102.290,59;129.683,82;192.332,06;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.01.00.00.00.000;02;0201;20.244,00;17.211,60;30.573,00;25.893,00;74.135,18;140.850,76;62.355,60;31.444,20;127.643,40;39.191,40;32.167,80;42.636,60;50.212,18;35.418,84;233.990,33;61.374,35;77.810,29;115.399,23;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.02.00.00.00.000;02;0201;8.435,00;7.171,50;12.738,75;10.788,75;30.889,66;58.687,82;25.981,50;13.101,75;53.184,75;16.329,75;13.403,25;17.765,25;20.921,74;14.757,85;97.495,97;25.572,65;32.420,95;48.083,02;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.03.00.00.00.000;02;0201;5.061,00;4.302,90;7.643,25;6.473,25;18.533,80;35.212,69;15.588,90;7.861,05;31.910,85;9.797,85;8.041,95;10.659,15;12.553,04;8.854,71;58.497,58;15.343,59;19.452,58;28.849,81;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.02.0.0.00.00.00.00.000;02;0201;38.132,22;42.713,23;37.970,42;45.224,78;41.306,37;48.943,02;57.620,49;53.117,89;63.331,92;55.587,63;55.296,97;50.230,39;46.034,77;54.118,92;65.543,08;59.999,82;73.249,25;124.038,03;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.0.00.00.00.00.000;02;0201;38.132,22;42.713,23;37.970,42;45.224,78;41.306,37;48.943,02;57.620,49;53.117,89;63.331,92;55.587,63;55.296,97;50.230,39;46.034,77;54.118,92;65.543,08;59.999,82;73.249,25;124.038,03;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.00.00.00.00.000;02;0201;37.867,62;42.464,01;37.558,48;44.810,70;41.239,98;48.835,33;57.375,61;52.517,41;62.297,47;55.173,82;54.451,26;49.495,65;45.403,56;53.778,73;57.246,52;59.323,56;72.439,65;116.248,05;000;0000;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.01.00.00.00.000;02;0201;22.720,54;25.478,39;22.535,05;26.886,40;24.743,88;29.301,14;34.425,29;31.510,36;37.378,37;33.104,19;32.670,68;29.697,28;27.242,19;32.267,25;34.347,90;35.594,11;43.463,80;69.748,79;000;0001;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.02.00.00.00.000;02;0201;9.466,93;10.616,00;9.389,66;11.202,70;10.310,06;12.208,87;14.343,96;13.129,42;15.574,46;13.793,53;13.612,88;12.373,99;11.350,85;13.444,68;14.311,66;14.830,90;18.109,90;29.062,03;000;0020;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.03.00.00.00.000;02;0201;5.680,15;6.369,62;5.633,77;6.721,60;6.186,04;7.325,32;8.606,36;7.877,63;9.344,64;8.276,10;8.167,70;7.424,38;6.810,52;8.066,80;8.586,96;8.898,55;10.865,95;17.437,23;000;0040;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\RECEITA.TXT"
